Cancer_Type_Detailed	Manually_corrected_Cancer_Type_Detailed	value	Why
Liver Hepatocellular Carcinoma	Hepatocellular Carcinoma	1131	liver' unnecessary
Gastric Adenocarcinoma	Stomach Adenocarcinoma	850	gastric alone absent in OT
Pilocytic astrocytoma	Pilocytic Astrocytoma	105	A' capitalized
Chromophobe Renal Cell CarcinomaÂ	Chromophobe Renal Cell Carcinoma	98	removed special characters
Pediatric Low Grade Gliomas	Low-Grade Glioma	93	"removed pediatric, added hyphen and removed plural"
Infiltrating Ductal Carcinoma	Ductal Carcinoma	82	"removed infiltrating, since this is breast cancer- more supporting evidence that shows up 3 times 1x in BRCA1 BRCA2 PTEN which are breast cancer genes"
Breast Invasive Carcinoma (NOS)	Breast Invasive Carcinoma	77	removed NOS
Acute Lymphoid Leukemia	Leukemia/Lymphoma	73	Lymphoid should come under Lymphoid parent so just put a string that will get that output
Castration-Resistant Prostate Cancer	Prostate	70	Location is ultimatrely prostate
Small Bowel Adenocarcinoma	Small Bowel	57	Location is ultimatrely small bowel so under Bowel
Undifferentiated Pleomorphic Sarcoma Malignant Fibrous Histiocytoma	Undifferentiated Pleomorphic Sarcoma/Malignant Fibrous Histiocytoma	55	added slash to match string in OT
Wilms' tumors	Wilms' Tumor	51	T' capitalized and removed 's'
Soft Tissue Sarcoma Other	Soft Tissue	49	Location is ultimatrely soft tissue
Liver Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	Hepatocellular Carcinoma plus Intrahepatic Cholangiocarcinoma	47	removed 'liver' to match string in OT
Head and Neck Squamous Cell CarcinomaÃŠ	Head and Neck Squamous Cell Carcinoma	40	removed special characters
Follicular lymphoma	Follicular Lymphoma	36	L' capitalized
Urothelial Carcinoma Other	Urothelial Carcinoma	36	Location is ultimately urothelial
Melanoma Other	Melanoma	32	Other means nothing
Acute myeloid leukemias	Acute Myeloid Leukemia	30	"removed 's', capitalized 'M' and 'L'"
Head and Neck Carcinoma Other	Head and Neck Carcinoma	27	Other means nothing
Pediatric High Grade Gliomas	High-Grade Glioma	25	"removed pediatric, added hyphen and removed plural"
Bone Sarcoma Other	Osteosarcoma	25	Location is ultimately Bone
Endometrial Adenocarcinoma	Endometrial	24	Location is ultimately Uterus
Ewing's sarcoma	Ewing Sarcoma	24	removed apostrophe s to match string in OT
Polycythemia vera	Polycythemia Vera	23	V' capitalized
MiT family translocation renal cell carcinoma	Translocation-Associated Renal Cell Carcinoma	22	Location is ultimately Kidney
Ovarian Serous Carcinoma	Serous Ovarian Cancer	21	string in OT to match
Papillary Throid Carcinoma	Papillary Thyroid	21	added 'y' to Throid-spelling error maybe And removed Carcinoma to match string in OT
Unclassified Kidney Renal Cell Carcinoma	Unclassified Renal Cell Carcinoma	21	don’t need 'Kidney'
Atypical teratoid/rhabdoid tumor	Atypical Teratoid/Rhabdoid Tumor	19	Capitalized 1st alphabets
